id;acessorio_id;codigo;descricao;tipo;quantidade;data
2;1;9001724;Motor Radio UDM45R 13Nm 21KG  EIXO 60 220V;SAIDA;1;13/08/2026 10:51
3;11;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;ENTRADA;300;13/08/2026 10:52
4;11;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;SAIDA;45;13/08/2026 10:53
5;11;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;ENTRADA;50;13/08/2026 11:06
6;11;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;SAIDA;200;13/08/2026 11:06
7;12;PAD4711VC;PERSIANA VENTILADA H45 ALTA DENSIDADE;ENTRADA;300;13/08/2026 11:06
8;23;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;ENTRADA;480;13/08/2026 16:03
9;24;PAD4711VC;PERSIANA VENTILADA H45 ALTA DENSIDADE;ENTRADA;160;13/08/2026 16:04
10;23;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;SAIDA;485;13/08/2026 16:05
11;23;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;SAIDA;100;13/08/2026 16:05
12;37;25-517;MARCO 700;SAIDA;1;14/08/2026 09:11
13;37;25-517;MARCO 700;ENTRADA;1;14/08/2026 09:12
14;37;25-517;MARCO 700;SAIDA;2;14/08/2026 09:12
