id;imagem;codigo;descricao;fornecedor;linha;cor;medida;sistema;valor;observacao;estoque;nescessario;material;peso_kg_m
945;;291;;ALUITA;FACHADA ELEGANCE;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.510
42;1000.bmp;1000;Engate para corrente em alvenaria;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;120.00;nan;0;0;ACESSORIO;0.0
43;1002.bmp;1002;BotÃ£o de correÃ§Ã£o com parafuso;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;688.00;nan;0;0;ACESSORIO;0.0
46;1004.bmp;1004;Argola para corrente e cordÃ£o;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;132.00;nan;0;0;ACESSORIO;0.0
47;1006.bmp;1006;Parafuso p/ sistema SÃ“ VIDRO ( alumÃ­nio);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;784.00;nan;0;0;ACESSORIO;0.0
48;1101.jpg;1101;DobradiÃ§a pivotante superior c/ pivot 1009 MIOLO FIXO-INJETADA;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;444.00;nan;0;0;ACESSORIO;0.0
52;1102.JPG;1102;DobradiÃ§a pivotante inferior c/ pivot 1014 -MIOLO FIXO-INJETADA;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;56.00;nan;0;0;ACESSORIO;0.0
61;1115.jpg;1115;DobradiÃ§a (nÃ£o automÃ¡tica) para box (substitui a 1114);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;20.42;nan;0;0;ACESSORIO;0.0
63;1116.JPG;1116;dobradiÃ§a lateral horizontal;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;121.23;nan;0;0;ACESSORIO;0.0
64;1117.JPG;1117;dobradiÃ§a horizontal dupla;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;205.47;nan;0;0;ACESSORIO;0.0
65;1120.JPG;1120;Roldana simples (1furo no vidro) (portas atÃ© 20kg);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;8.33;nan;0;0;ACESSORIO;0.0
67;1122.bmp;1122;Roldana dupla p/ trilho 125 Alumiplast(p/ portas atÃ© 80Kg);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;16.72;nan;0;0;ACESSORIO;0.0
71;1123.jpg;1123;DobradiÃ§a pino p/ basculante 50x50mm VA;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;13.09;nan;0;0;ACESSORIO;0.0
72;1125.bmp;1125;Roldana p/ porta de correr (rolamento importado);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;2.65;nan;0;0;ACESSORIO;0.0
79;1126.JPG;1126;Roldana dupla para trilhos (Stanley);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;20.12;nan;0;0;ACESSORIO;0.0
82;1130.JPG;1130;DobradiÃ§a pino p/ basculante 50x100mm VA;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;21.47;nan;0;0;ACESSORIO;0.0
83;1131.JPG;1131;DobradiÃ§a p/ maxim-ar VV 40mm entre furos;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;20.71;nan;0;0;ACESSORIO;0.0
84;1132.jpg;1132;DobradiÃ§a p/ maxim-ar VA 40mm entre furos;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;14.16;nan;0;0;ACESSORIO;0.0
85;1133.JPG;1133;DobradiÃ§a p/ maxim-ar VA 50mm entre furos;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;15.65;nan;0;0;ACESSORIO;0.0
86;1134.JPG;1134;DobradiÃ§a p/ maxim-ar VV 50mm entre furos;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;23.74;nan;0;0;ACESSORIO;0.0
87;1136.jpg;1136;DobradiÃ§a simples para janela;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;11.34;nan;0;0;ACESSORIO;0.0
88;1137.JPG;1137;DobradiÃ§a dupla para janela;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;18.25;nan;0;0;ACESSORIO;0.0
90;1200.JPG;1200;Capuchinho p/ trinco e fechadura;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;1.2;nan;0;0;ACESSORIO;0.0
91;1203.jpg;1203;Suporte de bandeira para dobradiÃ§a 1101;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;33.31;nan;0;0;ACESSORIO;0.0
92;1209.JPG;1209;FaÃ§ao Simples para bandeira e fixo;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;68.68;nan;0;0;ACESSORIO;0.0
96;1230.jpg;1230;DobradiÃ§a bucha p/ basculante 50x50mm VV Dupla;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;39.16;nan;0;0;ACESSORIO;0.0
97;1231.JPG;1231;DobradiÃ§a p/ basculante 50x100mm;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;36.99;nan;0;0;ACESSORIO;0.0
98;1302.jpg;1302;Suporte de canto;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;7.23;nan;0;0;ACESSORIO;0.0
99;1305.JPG;1305;Suporte central sem nÃºcleo;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;12.38;nan;0;0;ACESSORIO;0.0
100;1307.JPG;1307;Suporte para 3 vidros (sem nÃºcleo);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;19.69;nan;0;0;ACESSORIO;0.0
101;1310.jpg;1310;Suporte sem nÃºcleo para uniÃ£o de 3 vidros;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;27.52;nan;0;0;ACESSORIO;0.0
102;1316.JPG;1316;Suporte sem nÃºcleo p/ uniÃ£o de 4 vidros;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;27.52;nan;0;0;ACESSORIO;0.0
103;1320.JPG;1320;Suporte para uniÃ£o de 2 vidros instalaÃ§Ã£o Ã  90Âº;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;14.81;nan;0;0;ACESSORIO;0.0
104;1323.JPG;1323;Suporte para uniÃ£o de 4 vidros perpendiculares entre si;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;29.32;nan;0;0;ACESSORIO;0.0
105;1326.JPG;1326;Mini suporte p/ fixaÃ§Ã£o;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;12.25;nan;0;0;ACESSORIO;0.0
106;1329.jpg;1329;Suporte central;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;10.2;nan;0;0;ACESSORIO;0.0
107;1333.JPG;1333;Suporte para prateleiras;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;7.63;nan;0;0;ACESSORIO;0.0
108;1334.JPG;1334;Grapa para sacadas 50x58mm (sem recorte)-miolo fixo-INJETAD;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;18.09;nan;0;0;ACESSORIO;0.0
110;1340.JPG;1340;Suporte de canto com rosca p/ roldana 1150/1150 A;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;30.59;nan;0;0;ACESSORIO;0.0
111;1400.JPG;1400;Batedeira para trinco basculante;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;5.04;nan;0;0;ACESSORIO;0.0
112;1401.jpg;1401;Batedeira Simples;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;4.97;nan;0;0;ACESSORIO;0.0
113;1402.jpg;1402;Batedeira de pressÃ£o para bandeira;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;4.61;nan;0;0;ACESSORIO;0.0
114;1403.JPG;1403;Batedeira superior p/ porta sanfonada;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;7.68;nan;0;0;ACESSORIO;0.0
115;1404.JPG;1404;Guia de nylon para porta de correr;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;1.46;nan;0;0;ACESSORIO;0.0
116;1405.JPG;1405;Amortecedor para porta de correr e abrir;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;0.37;nan;0;0;ACESSORIO;0.0
117;1406.JPG;1406;Amortecedor para porta de correr;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;0.31;nan;0;0;ACESSORIO;0.0
118;1407.JPG;1407;Batente para facil;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;3.31;nan;0;0;ACESSORIO;0.0
119;1408.JPG;1408;Contra trinco para 1521;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;12.75;nan;0;0;ACESSORIO;0.0
121;1410.JPG;1410;Contra trinco com auto adesivo;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;2.5;nan;0;0;ACESSORIO;0.0
124;1502.JPG;1502;Trinco Inferior com nÃºcleo;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;106.69;nan;0;0;ACESSORIO;0.0
125;1504.jpg;1504;Contra fechadura sem aba;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;14.86;nan;0;0;ACESSORIO;0.0
144;1511.jpg;1511;Contra fechadura para fechadura 1510;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;28.73;nan;0;0;ACESSORIO;0.0
151;1519.JPG;1519;Trinco inferior sem nÃºcleo;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;24.01;nan;0;0;ACESSORIO;0.0
152;1520.jpg;1520;Fechadura de centro (use contra 1504/1504A/1504B);ARTVIDROS;TEMPERADO;BR/PT;UN;nan;45.98;nan;0;0;ACESSORIO;0.0
162;1521.JPG;1521;Trinco para janela e porta;ARTVIDROS;TEMPERADO;BR/PT;UN;nan;21.4;nan;0;0;ACESSORIO;0.0
