id;imagem;codigo;descricao;fornecedor;linha;cor;medida;sistema;valor;observacao;estoque;nescessario;material;peso_kg_m
6;9211256.JPG;9211256;Fechadura Giro 323 MAC840;UDINESE;Linha 30;BRANCA;UN;PORTA GIRO;245;nan;0;0;ACESSORIO;0
7;9700507.JPG;9700507;Fechadura 815A Cilindro 400/45 (USAR CONTRA 9206291);UDINESE;MEGA 25;BRANCA;UN;PORTA CORRER;245;nan;0;0;ACESSORIO;0
8;9700509.JPG;9700509;Fechadura 815A Cilindro 400/45 (USAR CONTRA 9202899);UDINESE;MEGA 25;PRETA;UN;PORTA CORRER;245;nan;0;0;ACESSORIO;0
13;9001724.PNG;9001724;Motor Radio UDM45R 13Nm 21KG  EIXO 60 220V;UDINESE;TODAS;TODAS;UN;JANELA INTEGRADA;400;nan;3;0;ACESSORIO;0
14;9001728.PNG;9001728;Motor Radio UDM45R 40Nm 66KG EIXO60 220V ;UDINESE;TODAS;TODAS;UN;PORTA INTEGRADA;400;nan;0;0;ACESSORIO;0
15;9001908.JPG;9001908;UDC301 CONTROLE 1 CANAL;UDINESE;TODAS;BRANCA;UN;INTEGRADA;200;nan;0;0;ACESSORIO;0
16;9001909.JPG;9001909;UDC301 CONTROLE 1 CANAL;UDINESE;TODAS;PRETA;UN;INTEGRADA;200;nan;0;0;ACESSORIO;0
17;9212267.JPG;9212267;Fechadura Giro 323 MAC840;UDINESE;Linha 30;PRETA;UN;PORTA GIRO;245;nan;0;0;ACESSORIO;0
21;9206291.JPG;9206291;Contra Fecho Fechadura 815A;UDINESE;MEGA 25;BRANCA;UN;PORTA CORRER;10;nan;0;0;ACESSORIO;0
22;9202899.JPG;9202899;Contra Fecho Fechadura 815A;UDINESE;MEGA 25;PRETA;UN;PORTA CORRER;10;nan;0;0;ACESSORIO;0
23;PAD4711CC.jpg;PAD4711CC;PERSIANA CEGA H45 ALTA DENSIDADE;ALUMICONTE;MEGA 25 E 32;PRETA;UN;INTEGRADA;50,92;PERSIANA PARA VÃƒOS MAIORES;0;0;ACESSORIO;0
24;PAD4711VC.jpg;PAD4711VC;PERSIANA VENTILADA H45 ALTA DENSIDADE;ALUMICONTE;MEGA 25 E 32;PRETA;UN;INTEGRADA;50,92;PERSIANA PARA VÃƒOS MAIORES;460;0;ACESSORIO;0
30;CL-006.jpg;CL-006;CONTONEIRA MONTAGEM;TODOS;TODAS;BRUTO;BR;PORTAS;0;nan;0;0;PERFIL;0
31;CL-011.jpg;CL-011;CUNHA MONTAGEM;TODOS;TODAS;BRUTO;BR;PORTAS;0;nan;0;0;PERFIL;0
33;CT-209.JPG;CT-209;nan;PETRA;PVC PTO;PRETO;BR;nan;154,2;nan;0;0;PERFIL;0
